"Ticker","Nome","Negócios","Última (R$)","Variação"
"RAPT4","Randon","2.689.200","8,25","+0,49%"
"CXSE3","Caixa Seguridade","2.631.600","15,25","+0,86%"
"PDGR3","PDG Realty","2.582.100","0,42","-12,50%"
"KLBN11","Klabin","2.581.700","19,23","-0,36%"
"FLRY3","Fleury","2.522.100","12,59","+0,96%"
"HYPE3","Hypera","2.504.000","24,45","+1,03%"
"RCSL4","Recrusul","2.473.500","1,17","-9,30%"
"TEND3","Construtora Tenda","2.400.500","22,58","+3,11%"
"SLCE3","SLC Agrícola","2.325.900","18,88","+2,83%"
"MULT3","Multiplan","2.297.700","25,90","+0,19%"
"RECV3","PetroRecôncavo","2.235.000","13,97","-2,38%"
"BPAN4","Banco Pan","2.219.700","8,57","+1,06%"
"INTB3","Intelbras","2.192.700","13,91","-2,32%"
"SANB11","Banco Santander","2.188.600","29,93","+0,84%"
"SMTO3","São Martinho","2.169.500","20,97","+1,45%"
"ODPV3","Odontoprev","2.118.700","10,92","+0,00%"
"GMAT3","Grupo Mateus","2.117.600","7,76","-0,26%"
"ONCO3","Oncoclínicas","2.117.300","5,20","+9,24%"
"OIBR3","Oi","2.096.500","0,63","+0,00%"
"DIRR3","Direcional","2.093.000","39,48","+4,53%"
"IGTI11","Jereissati Participações","2.080.200","21,62","-0,37%"
"IGTI11","Iguatemi","2.080.200","21,62","-0,37%"
"PSSA3","Porto Seguro","2.028.300","49,50","+2,40%"
"SBFG3","Grupo SBF","1.980.100","11,04","-0,09%"
"ALPA4","Alpargatas","1.946.100","9,08","-1,63%"
"SBSP3","Sabesp","1.934.500","117,06","+0,94%"
"BHIA3","Casas Bahia","1.776.900","4,16","-3,70%"
"JHSF3","JHSF","1.652.300","5,06","+0,80%"
"CRFB3","Carrefour Brasil","1.641.700","8,45","+0,12%"
"HBOR3","Helbor","1.618.700","2,46","-3,91%"
"AZEV3","Azevedo & Travassos","1.578.000","0,59","-1,67%"
"ENJU3","Enjoei","1.513.000","1,18","-1,67%"
"BRSR6","Banrisul","1.510.500","12,22","-0,08%"
"CSMG3","COPASA","1.476.500","24,28","+1,42%"
"TAEE11","Taesa","1.468.700","35,53","+0,37%"
"QUAL3","Qualicorp","1.455.200","2,19","+0,92%"
"GUAR3","Guararapes","1.454.500","8,11","+0,37%"
"SEER3","Ser Educacional","1.409.900","10,00","+2,35%"
"EGIE3","Engie","1.340.300","40,45","+0,72%"
"SAPR4","Sanepar","1.333.800","6,40","+1,43%"
"ELET6","Eletrobras","1.333.100","46,53","+0,85%"
"EZTC3","EZTEC","1.332.300","13,17","-0,15%"
"GRND3","Grendene","1.293.800","5,28","+0,57%"
"CSED3","Cruzeiro do Sul Educacional","1.292.200","5,12","+2,40%"
"AMER3","Americanas","1.280.500","5,12","-0,58%"
"ISAE4","ISA Energia","1.150.700","23,50","+0,69%"
"NEOE3","Neoenergia","1.143.000","24,40","+1,54%"
"KLBN4","Klabin","1.095.900","3,83","+0,26%"
"KEPL3","Kepler Weber","1.074.200","7,71","+0,92%"
"POSI3","Positivo","1.052.800","4,93","-0,60%"
"AZTE3","AZT Energia","1.051.800","0,71","-4,05%"
"MDIA3","M. Dias Branco","1.036.300","23,61","-1,95%"
"TFCO4","Track & Field","1.018.300","13,92","-0,36%"
"TTEN3","3tentos","990.900","14,65","+2,73%"
"PORT3","Wilson Sons","976.600","17,49","+0,11%"
"CAML3","Camil Alimentos","950.400","4,82","+0,21%"
"MDNE3","Moura Dubeux","909.800","18,50","+2,49%"
"IRBR3","IRB Brasil RE","853.400","46,45","-0,51%"
"MELK3","Melnick","850.200","3,53","+3,82%"
"SAPR11","Sanepar","837.200","32,00","+1,56%"
"JSLG3","JSL","833.800","6,32","-3,07%"
"CPFE3","CPFL Energia","833.700","40,59","+1,25%"
"PGMN3","Pague Menos","823.200","3,32","-0,60%"
"MILS3","Mills","792.500","10,49","-0,19%"
"VVEO3","Viveo","785.400","1,36","+1,49%"
"MYPK3","Iochpe-Maxion","755.700","12,04","+1,52%"
"WIZC3","Wiz Soluções","729.000","7,06","+1,15%"
"JALL3","Jalles Machado","668.200","4,32","+1,17%"
"FESA4","Ferbasa","649.000","6,92","-1,42%"
"MTRE3","Mitre Realty","646.000","4,01","+1,26%"
"PLPL3","Plano&Plano","640.700","14,66","-0,20%"
"TRIS3","Trisul","595.500","7,17","+2,14%"
"HBRE3","HBR Realty","582.100","3,43","-3,38%"
"PINE4","Banco Pine","567.800","5,30","+0,57%"
"ITUB3","Itaú Unibanco","550.700","33,30","+0,30%"
"ARML3","Armac","550.000","4,33","+1,88%"
"LEVE3","Mahle Metal Leve","548.100","30,66","+3,23%"
"VLID3","Valid","547.800","27,10","+4,07%"
"DASA3","Dasa","530.000","1,70","-2,30%"
"RANI3","Irani","529.300","7,63","-2,05%"
"ESPA3","Espaçolaser","516.800","1,12","+5,66%"
"SHUL4","Schulz","504.200","5,45","+1,87%"
"BLAU3","Blau Farmacêutica","485.800","14,33","+3,39%"
"VULC3","Vulcabras","473.800","20,32","-1,12%"
"PMAM3","Paranapanema","463.300","2,11","+2,43%"
"EVEN3","Even","446.600","6,60","+1,23%"
"BMGB4","Banco BMG","437.800","3,75","+1,63%"
"SOJA3","Boa Safra Sementes","435.000","11,70","+1,30%"
"LIGT3","Light","428.500","6,26","-3,69%"
"ALUP11","Alupar","424.900","30,53","+0,79%"
"LAVV3","Lavvi Incorporadora","415.000","11,25","+1,81%"
"AMAR3","Lojas Marisa","410.900","1,45","+1,40%"
"MATD3","Mater Dei","400.600","4,95","+2,70%"
"FIQE3","Unifique","395.400","3,93","+0,26%"
"ABCB4","Banco ABC Brasil","394.800","21,41","-1,92%"
"PTBL3","Portobello","392.700","5,00","-3,85%"
"PNVL3","Dimed","392.500","8,74","+1,75%"
"POMO3","Marcopolo","391.500","5,56","+0,00%"
"SYNE3","SYN","379.700","6,07","+0,00%"
"VITT3","Vittia","378.800","4,80","+1,69%"
"ORVR3","Orizon","344.500","51,55","+0,49%"
"FRAS3","Fras-le","336.900","26,15","+0,00%"
"DESK3","Desktop","300.100","9,33","+4,71%"
"SHOW3","Time For Fun","264.400","0,70","+1,45%"
"CMIG3","Cemig","262.100","15,37","+2,67%"
"LPSB3","Lopes","260.700","1,60","-10,11%"
"TASA4","Taurus","256.400","7,77","+0,00%"
"TUPY3","Tupy","251.700","18,93","+0,64%"
"KLBN3","Klabin","237.600","3,98","+0,00%"
